date,time,open,high,low,close,something
2016.07.04,18:45,1.11539,1.1155,1.11526,1.11533,39
2016.07.04,18:50,1.11533,1.11534,1.11533,1.11534,7
2016.07.04,18:55,1.11533,1.11594,1.11525,1.11589,164
2016.07.04,19:00,1.11589,1.11589,1.11552,1.11576,118
2016.07.04,19:05,1.11577,1.11577,1.11559,1.11565,91
2016.07.04,19:10,1.11566,1.11572,1.11561,1.11567,76
2016.07.04,19:15,1.11568,1.11571,1.11555,1.11555,124
2016.07.04,19:20,1.11555,1.11592,1.11555,1.11578,86
2016.07.04,19:25,1.11577,1.11582,1.11576,1.11581,47
2016.07.04,19:30,1.11579,1.11581,1.11574,1.11577,36
2016.07.04,19:35,1.11576,1.11579,1.11576,1.11579,25
2016.07.04,19:40,1.11579,1.11579,1.11576,1.11576,17
2016.07.04,19:45,1.11576,1.11578,1.11575,1.11575,53
2016.07.04,19:50,1.11578,1.11579,1.11569,1.11572,161
2016.07.04,19:55,1.11571,1.11571,1.11547,1.11549,111
2016.07.04,20:00,1.11549,1.11559,1.11545,1.11559,34
2016.07.04,20:05,1.11558,1.11579,1.11549,1.11575,60
2016.07.04,20:10,1.11575,1.11575,1.11568,1.11569,34
2016.07.04,20:15,1.11569,1.11574,1.11564,1.11574,27
2016.07.04,20:20,1.11572,1.11589,1.11572,1.11579,23
2016.07.04,20:25,1.11579,1.11586,1.11542,1.11559,316
2016.07.04,20:30,1.11562,1.11566,1.11531,1.11549,312
2016.07.04,20:35,1.1155,1.11555,1.11547,1.11555,273
2016.07.04,20:40,1.11555,1.11555,1.11537,1.11537,67
2016.07.04,20:45,1.11537,1.11549,1.1153,1.1154,67
2016.07.04,20:50,1.11548,1.11548,1.11525,1.11526,98
2016.07.04,20:55,1.11526,1.11538,1.11521,1.11522,151
2016.07.04,21:00,1.11531,1.11536,1.11521,1.11536,29
2016.07.04,21:05,1.11538,1.11557,1.11522,1.11526,27
2016.07.04,21:10,1.11534,1.11541,1.11515,1.1152,83
2016.07.04,21:15,1.11516,1.1152,1.11509,1.11514,41
2016.07.04,21:20,1.11514,1.11516,1.11507,1.11511,23
